source,target
2803001,2787630
2803001,2803017
13348,2787630
13348,13348
13348,2787630
13348,13348
13348,82315
13348,4430
13348,11492
117418,117418
117418,89289
117418,1188876
117418,70261
117418,70243
117418,7173
1188876,117418
1188876,89289
1188876,1188876
61399,61399
61399,1701850
61399,1723195
61399,60900
61399,1603921
1701850,61399
1701850,1701850
1701850,1723195
1723195,61399
1723195,1701850
1723195,1723195
1050881,21111
1050881,1050881
1050881,1420
1050881,2102600
1050881,524
1050881,225009
1050881,146964
1050881,1171032
1050881,1190206
1074129,1074129
1074129,2066306
1074129,173729
2066306,1074129
2066306,2066306
2066306,173729
173729,26456
173729,173729
173729,1074129
173729,2066306
173729,173729
173729,592803
173729,1248657
173729,1246000
1184462,1184462
1184462,2954
1184462,4173
72129,72129
72129,10943
72129,3810
72129,72305
72129,44735
72129,10943
72129,27972
10943,10943
10943,27972
10943,72129
10943,10943
27972,10943
27972,27972
27972,72129
27972,10943
1072882,1072882
1072882,87295
1072882,44240
1072882,33663
1072882,1072882
1072882,1987684
1072882,2372599
1072882,2372600
1072882,2372601
1072882,542269
1072882,81916
1987684,33663
1987684,1072882
1987684,1987684
1987684,1924782
1987684,1987671
1987684,1987673
1145892,33663
1145892,1145892
1145892,69054
1145892,1004
227811,227811
227811,1222706
227811,33663
1222706,227811
1222706,1222706
1222706,33663
1167702,1167702
1167702,1167703
1167702,33663
1167702,1216782
1167702,1207043
1167702,1167702
1167702,1207045
1167702,1216782
1167702,89023
1167702,1155272
1167702,16620
1167702,77120
1167702,56446
1167702,1167703
1167702,90027
1167702,61903
1167703,1167703
1167703,90027
1167703,61903
1167703,1167702
1167703,1167703
1167703,33663
1167703,1216782
1167703,1207043
1167703,1167702
1167703,238367
1167703,543544
1167703,16620
1167703,237600
1167703,1206981
1167703,1155262
1167703,568583
1167703,1039215
1167703,1207045
1167703,1216782
1167703,1463963
1167703,16620
1167703,1170011
1167703,198192
1167703,906496
1167703,1108045
1167703,112217
1167703,218022
1167703,1087342
1167703,1064416
1167703,1194949
1167703,1240598
1167703,87255
1167703,906496
1167703,1216317
1167703,1108045
1748,1748
1748,64825
1748,149589
1748,97772
1748,1748
1748,15417
1748,1748
