id,name
140503,Terrance
11357,Himself
1037,Mr. White / Larry Dimmick
3129,Mr. Orange / Freddy Newandyke
4762,Himself
19119,Shosanna Dreyfus / Emmanuelle Mimieux
1080542,Ann Deever
15903,Narrator
24594,Narrator
50463,Anna
98285,Olivia
10594,
58198,Himself (Various Characters)
1409651,25 Appearance
56322,Various
41091,Various
56262,Daniel
1102260,Chloe
20,Mama
82794,Emma Nelson
133917,Gavin
56117,Scabs
131771,Nancy
265904,Holly J. Sinclair
84627,Peter Stone
112326,Jane Vaughn
1666,Catherine Morelli
30428,Gregory Mulvey
136532,The Doctor (11)
20049,The Doctor (10)
578,Himself
10205,Herself
5048,Himself
35862,Harker
65446,Woman
4139,Arthur Koblenz Dallas
5047,Joan Marie Lambert
9188,The Bellman
47096,The Barrister
47654,The Doctor
1256731,Cass
47513,Himself
137928,Himself
80112,Himself
173765,Dicey Tillerman
59016,James Tillerman
20070,Dad Turtle
35029,Narrator
1230801,Narrator (voice)
72100,Thomas (voice)
139654,Kate
11855,Eileen
115679,Peggy Lytton
104795,Dr James Niven
1361519,MR James
1361520,Chitchat Society Member
2183911,Herself
4955,Himself
7063,
47646,
135420,Volumnia
71580,Himself
28485,
7060,John Watson
12982,The Doctor (12)
11180,The Doctor (1)
11616,Agatha Christie
8227,Older Agatha Christie
5482,Archie Christie
7499,Harry Goldfarb
6161,Marion Silver
8437,Helen Schaefer
3122,Julie Jackson
40266,Hanna
26659,McCormack
60438,Benjamin 'Benj' Cartwright
121257,Gary Conway
96719,Connie Faulkner
24820,Senator Clarke Faulkner
29069,Charles
10501,Julian Cristoforou
9278,Herself
3900,Ram
1138,Olivier Benôit
1350,Valentine Dussaut
1352,Richter Joseph Kern
1356,Auguste Bruner
11813,Himself
15406,Himself
14999,Himself
2476121,Synth Rider
2291380,
511,Himself
31211,Himself
44810,Elvira
4785,Himself
6929,Herself
1518723,Himself - Hammer Historian
61824,Himself - Filmmaker
113,Himself / Narrator
3027,Himself
131120,Narrator (voice)
2955260,Narrator (voice)
16848,Self
83322,Self
6856,R.J. MacReady
11065,Dr. Blair
15411,Nauls
12516,Rose (segment "The Room")
8892,Sandy Olsson
1623255,Ashley
77624,Maureen Wells
1178637,Adam Wells
83272,Anne Wells
67273,Himself
29408,Vocals
1629606,Himself (archive footage)
4810,Herself
25129,Sonny Crockett
70759,Ricardo Tubbs
171135,Gina Calabrese
1880694,Candide
1445417,Captain John Smith
167831,Georges / George
1884770,Dot / Marie
134667,The Duke
118426,Aegeon
12725,Countess of Rousillon
11854,Bertram
228,Himself
34521,Inspecteur Gadget
181975,
82587,
78029,
15535,Himself (archive footage)
1034453,
57172,
97480,Herself
80116,herself
1357832,Himself
80491,Himself
15899,Jackie Washington
13472,Edward Whatsett St. John
97260,Shaniqua Summers Wells (Jackie's Daughter)
5621,
5620,
561869,Starr Carter
62649,Maverick Carter
63,Georgie
113505,Bobby
1819889,Shelly
1238982,Himself
76245,Himself
41039,Himself
1172108,Mary Adler
30083,Evelyn Adler
11090,Himself
39995,Himself
17628,Herself / Ramona Flowers
84223,Herself / Stacy Pilgrim / Envy Adams
206,Joel Barish
205,Mary Svevo
76546,Stick
95468,Sunshine
975085,Narrator
1719741,
102786,Self
964843,Self
90654,
82388,Himself (archive footage)
517453,Himself/Narrator
207781,Narrator
10222,Himself - Host
1736908,Himself - Interviewed Guest
1250,
10730,
145327,Ben
121633,
40305,
131814,Tom Lepski
28615,Himself
26101,Herself
28611,Herself
10342,
6553,
66161,Kevin
147424,Annie Palmer
3061,Mark "Rent Boy" Renton
1125,Daniel "Spud" Murphy
9012,Simon "Sick Boy" Williamson
1283,Marla Singer
17397,Herself
17398,Herself
504,Andy Dufresne
4029,Warden Samuel Norton
73030,Herself
204962,Himself - Presenter
8534,Herself
1121,Himself
3392,Himself
103939,Big Ma
15531,Nelson Davis
927783,Daniele
104779,Himself
78141,Alex Lofton
184816,Sara Gradwell
7504,Esther Boyle
172677,Alan Boyle
6949,Lee
32,Jenny Curran
24,Himself
28,Herself
52,Brutus "Brutal" Howell
1590759,Clive Banning
69921,Filmmaker's Assistant
1030512,Shields Green
6905,Levi Coffin
19576,Paul Bratter
29710,Corrie Bratter
21490,Nick Stillman
6574,Nash Creed
516,Carolyn Burnham
2155,Jane Burnham
1405836,Amory Percy
6859,Antonia
12640,Jake Winters
42133,Trudy
1146,Marguerite
55477,Justice Shallow
113697,Slender
95125,Dad
40949,Mum
10595,Grandad
217914,Anthony Hancock
3361,Sir Charles Broward
30766,Jim Smith
140833,Ronnie
140384,David King
50234,Cassie Howard
31302,Himself
1474965,Alicia
17741,Megan 15
1213001,Ben Maverick
12311,Bart Maverick
41406,Evelyn 'Angel' Martin
101908,Ian Levin
18588,Norma
1009,Buck Devlin
82860,Ep Clark
2463363,Young Samuel Clemens
19429,Himself (archive footage)
18897,Himself (archive footage)
62410,Himself (archive footage)
13294,Don Lockwood
13295,Cosmo Brown
109255,Himself
7505,Himself
2672,Host
9066,Herself
2264,Mr. Alexander
2265,Mrs. Alexander
21596,Kelly
8658,Van
1954,Greg Hutchins
9869,Himself
3349,Himself
1230,Dan Conner
3198,himself
53595,himself
1768256,(voice)
1796,Sally Goodson
8975,John Nils
212208,Self
14,Self
1289968,Self
2288250,Narrator
2110741,Himself
4783,Thomas Jefferson
37158,Sally Hemings
20158,Betty Hemings
76143,Bob Dylan
1214261,Self
1877583,Self
151436,Def Girl
564046,Phil
164116,Jogger
9045,Michael McManus
1091984,Himself
1205,Narrator
1547461,Himself
1797610,Narrator  On Camera Host Herself
1797611,Herself
4250,Irving
57755,Self / Narrator (voice)
568652,Cloud Walker
14837,Narrator (voice)
95101,Charlie
78597,Mac
77870,Dennis
139309,The Waitress
24203,Gladys
95102,Dee Reynolds
7668,John Webb
15152,Grey
42157,Gerald
12688,Martin
69344,Princess Amanda
7171,Various Characters
19540,Optimus Prime / Ironhide
15831,Fred Jones (voice)
96340,Daphne Blake (voice)
16418,Shaggy Rogers (voice)
45183,Chesty Anderson
161522,Tina Marlowe
84870,Cocoa Daniels
2059,Animal Mother
7132,Pvt. Pyle
934844,Himself
2339153,Himself
2339154,Herself
19274,
1847916,Himself
1416462,Himself
112261,Jack O'Toole
13446,Lena Wilson
87192,Father Rolie O'Toole
1392152,Himself
26510,Himself
62831,Himself
399681,Himself
47,
1371523,
568038,Self
1308302,Herself
1232640,Herself
1893064,Himself
1436413,Himself
12219,Himself - Host
19292,Himself
115089,Self
44999,Himself
776,Himself
3896,Oskar Schindler
115573,Neaera Duncan
5658,George Fairbairn
24393,
55784,Hitoshi Fujinaka
13280,Mari Inoue
20767,Jane
4971,Dr. Geiler
120608,Maria
1596910,Leela
56578,Himself
9656,Himself
1713525,Himself
49205,Rita Rosner
1178282,Hans
116100,Himself
1140098,Himself
12826,Himself
78798,Mayor of Townsville / Top Cat (voice)
67778,Himself
1216096,Himself
8930,Himself - Host
19303,Himself
20503,Himself
127712,John Constantine (voice)
3035,Clark Kent / Superman (voice)
527313,Rachel Roth / Raven (voice)
35219,Narrator (voice)
7879,Himself
107602,Himself
11617,Agent Melanie Hamlin
2076,Eugene Devlin
1066609,Steve
1885331,Betty
1882037,Stone Spencer
33492,Giovanni Fransesco
8212,John
2179,Anne
11885,Rick
577729,Georg
564463,Fabian
577731,Erik
36811,Tarzan Brixton
2395,Loretta Brixton
16962,Park Jae-hyuk
97024,Chae Edo
93999,Lee Dae-bum
2528280,Sam Ali
82420,Jeffrey Godefroi
65314,
1276017,
2406,Roland
1925,Michael
37628,Véra
1218174,
3124,
1330888,Himself
2501669,Herself
54693,Eugenia "Skeeter" Phelan
19492,Aibileen Clark
6944,Minny Jackson
27106,Dr. Garrett
164807,Himself
14464,Herself
138005,Kathy
58293,Duell McCall
5605,Sheriff Campbell
1736,John Sikes
11149,Joan
60650,Derek
52267,Joad
6587,Sister Margaret
11859,Colonel Bertie Cook
9221,Sir Giles Marley
11064,Reverend Bobby Paradise
21368,Eddie Kagel
26660,Nick
1472749,Ms. Bonnet
1818410,Student
1248383,Student
5656,Himself
1245,Herself
1023139,Himself
80863,Hidemi Ozaki
129050,Darcy
2042596,Iosefa
1010189,Jorge
17051,Mr. Hurston
89819,
1518619,Vicky
16858,Kristie Sue
28638,Bubba Pearl
47296,Rod
1723391,
98311,
11181,Himself / Narrator
1145340,11 year-old tryout
168374,Herself
3036,Himself
74227,Actress
2956,Herself
69231,Himself
69234,
1315958,Lucio
144275,
1496101,
20405,Narrator (voice)
102984,Himself
238732,himself
2133170,himself
534,Hunt
236016,Madame Krantz
1653,Marcel
25178,
19361,Henri le Vert / Heinrich
37923,Anna
42123,Judith
9274,Victor Mason
1053265,Allison 'Frog' Parker
2029660,Jane 'Wombat' Walker
123524,JT Coffee
103681,Rosemary Haydon
4113,John Stevenson
3681,Herself
3391,Herself - Host
31234,Narrator (voice)
13577,(archive footage)
1556652,Herself - Interviewee (archive footage)
1950476,Himself - Interviewee
162668,Himself - Interviewee
176543,Himself
1488806,Himself
236975,Tommy Turk
120150,Bob
40174,Susan Vega
91711,Lorenzo Xavier "Larry" Vega
29520,James Brodie
20141,Mary Brodie
26662,Elena Bardi
22383,Professore Michele Belcore
14501,Hercuele Poirot
10978,Herself / Daphne Castle
10168,Herself / Arlena Stuart Marshall
23931,Mary Thornton
35806,Himself
17114,Himself
2048,
156431,
58312,Mary Sanders
18905,Ken Sanders
1445731,Jack Ariamehr
2265270,Juror #7
92813,Juror #12
2878,Blaise Rybeck
31921,Emma Roussell
